Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2015060222904,28-May-15,21-May-15,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Electronics,$0.00 ,Deny
2015082725115,21-Aug-15,1-Aug-15,ABE,"Lehigh Valley International Airport, Allentown",-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$180.00 ,Settle
2015102326219,7-Oct-15,2-Oct-15,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing,$60.00 ,Approve in Full
2015122027695,27-Oct-15,19-Oct-15,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Accessories,-,-
2015012220065,22-Jan-15,23-Dec-14,ABI,Abilene Regional,American Airlines  ,Property Damage,Checked Baggage,Home Decor,$0.00 ,Deny
2015081024734,5-Aug-15,14-Jul-15,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$200.00 ,Approve in Full
2015092825697,7-Sep-15,6-Aug-15,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2015010919746,9-Jan-15,24-Nov-14,ABQ,Albuquerque International Sunport Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2015022720896,27-Feb-15,26-Feb-13,ABQ,Albuquerque International Sunport Airport,American Airlines  ,Passenger Property Loss,Checkpoint,-,$0.00 ,Deny
2015040721792,6-Apr-15,2-Jan-15,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Home Decor,$136.49 ,Settle
2015052722773,27-May-15,6-May-15,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,$0.00 ,Deny
2015060422932,29-May-15,20-Dec-14,ABQ,Albuquerque International Sunport Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Personal Electronics,$0.00 ,Deny
2015062523439,25-Jun-15,30-May-15,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2015072324120,15-Jul-15,14-Jun-15,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$121.89 ,Settle
2015072124032,21-Jul-15,7-Jul-15,ABQ,Albuquerque International Sunport Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
