Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2017042438845,16-Feb-17,1/20/2017 0:00,ABE,"Lehigh Valley International Airport, Allentown",-,Property Damage,Checked Baggage,Cosmetics & Grooming,-,In Review
2017122746302,21-Nov-17,11/9/2017 15:45,ABE,"Lehigh Valley International Airport, Allentown",American Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
2017071341549,22-Jun-17,6/15/2017 0:00,ABE,"Lehigh Valley International Airport, Allentown",American Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
2017091343010,1-Aug-17,7/24/2017 12:00,ABQ,Albuquerque International Sunport Airport,American Eagle,Passenger Property Loss,Checkpoint,Medical/Science,$0.00,Deny
2017082442462,1-Jul-17,3/19/2017 11:25,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing; Cosmetics & Grooming,-,In Review
2017062140920,2-May-17,4/4/2017 0:00,ABQ,Albuquerque International Sunport Airport,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017102344611,3-Oct-17,10/2/2017 0:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Home Decor,-,In Review
2017102644741,3-Oct-17,10/1/2017 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
2017102544669,4-Oct-17,9/29/2017 0:00,ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other; Other,-,*Insufficient
2017072541835,5-Jun-17,6/5/2017 7:24,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
2017033138320,6-Feb-17,1/25/2017 0:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
2017051239477,7-Apr-17,4/2/2017 0:00,ABQ,Albuquerque International Sunport Airport,Not Provided,Passenger Property Loss,Checkpoint,Currency,$0.00,Deny
2017120745786,7-Dec-17,10/15/2017 8:11,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing; Food & Drink,-,In Review
2018010246400,7-Dec-17,11/26/2017 17:22,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
2017040738423,7-Feb-17,1/28/2017 0:00,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming,$35.99,Approve in Full
2017112245344,8-Nov-17,10/26/2017 4:06,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
2017092543520,9-Aug-17,7/7/2017 8:46,ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
2017121946077,11-Dec-17,12/7/2017 0:00,ABQ,Albuquerque International Sunport Airport,Not Provided,Property Damage,Checkpoint,Personal Accessories,-,In Review
2017101144217,11-Oct-17,7/29/2017 11:30,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories; Household Items,-,In Review
2017091142843,13-Jul-17,6/15/2017 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017092043332,13-Sep-17,8/20/2017 0:00,ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
2018010446461,14-Dec-17,9/22/2017 11:45,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
2017072741927,14-Jun-17,6/1/2017 6:48,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Home Decor,-,In Review
2017072741887,15-Jun-17,6/10/2017 17:30,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Food & Drink; Food & Drink,-,In Review
2017070341165,15-May-17,4/16/2017 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
2017062640995,16-Jun-17,6/11/2017 0:00,ABQ,Albuquerque International Sunport Airport,American Eagle,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
2017091142867,17-Jul-17,7/14/2017 16:15,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017122146222,17-Nov-17,11/10/2017 16:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing,-,In Review
2017112445376,18-Oct-17,7/11/2017 0:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,In Review
2017042038729,20-Apr-17,1/17/2017 0:00,ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,$12.50,Approve in Full
2017060840391,20-Apr-17,4/13/2017 6:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$50.00,Settle
2017111945239,20-Oct-17,7/23/2017 10:46,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
2017051039393,21-Mar-17,2/22/2017 0:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
2017092743612,22-Aug-17,7/13/2017 11:40,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
2017042138770,22-Feb-17,2/18/2017 12:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Home Decor,$200.00,Approve in Full
